Frame	x	y
4287	318.788	39.939
4288	319.18	40.123
4289	318.789	40.412
4290	318.578	40.537
4291	317.896	41.364
4292	318.948	42.757
4293	318.677	42.797
4294	318.384	43.026
4295	318.371	43.506
4296	316.64	45.051
4297	315.706	46.024
4298	315.629	46.154
4299	316.187	45.842
4300	317.377	44.167
4301	317.484	42.652
4302	317.451	42.33
4303	317.306	42.877
4304	317.398	42.434
4305	317.406	43.231
4306	317.635	44.362
4307	317.115	43.289
4308	317.372	44.055
4309	317.57	43.346
4310	317.867	43.207
4311	317.607	43.919
4312	318.528	43.087
4313	318.519	42.666
4314	318.735	42.91
4315	317.697	43.554
4316	318.338	42.667
4317	318.671	42.677
4318	318.204	43.222
4319	317.678	42.877
4320	317.7	41.799
4321	316.863	42.075
4322	316.281	41.492
4323	316.737	41.19
4324	317.088	41.194
4325	316.266	42.717
4326	315.696	42.926
4327	316.138	40.932
4328	316.515	42.361
4329	315.908	42.592
4330	315.698	42.517
4331	316.073	41.912
4332	316.295	41.716
4333	316.324	41.627
4334	316.379	41.832
4335	316.517	42.024
4336	316.134	41.883
4337	316.59	41.897
4338	316.012	42.246
4339	315.14	41.112
4340	314.887	40.205
4341	314.61	39.852
4342	314.691	40.151
4343	314.876	40.473
4344	314.841	41.131
4345	315.531	41.215
4346	316.185	41.564
4347	317.294	41.002
4348	316.808	40.125
4349	316.097	40.789
4350	316.491	40.706
4351	317.117	40.918
4352	317.306	41.708
4353	317.715	42.749
4354	316.968	42.782
4355	316.362	42.309
4356	316.173	42.443
4357	315.706	43.65
4358	315.448	44.072
4359	316.374	44.342
4360	316.678	45.042
4361	316.885	45.578
4362	317.166	45.893
4363	317.52	46.478
4364	317.634	49.428
4365	316.766	49.964
4366	316.687	50.644
4367	316.943	50.651
4368	316.204	50.822
4369	315.191	51.825
4370	314.715	51.401
4371	314.203	50.473
4372	314.052	49.385
4373	314.703	49.029
4374	315.533	50.01
4375	314.941	50.667
4376	313.743	49.937
4377	312.797	49.786
4378	314.695	52.362
4379	314.695	52.362
4380	314.695	52.362
4381	314.695	52.362
4382	314.695	52.362
4383	314.695	52.362
4384	314.695	52.362
4385	314.695	52.362
4386	314.695	52.362
4387	314.695	52.362
4388	313.248	52.37
4389	313.2	53.558
4390	313.299	52.903
4391	313.774	52.122
4392	312.895	52.374
4393	312.492	52.979
4394	312.41	52.906
4395	313.432	53.397
4396	313.455	55.189
4397	313.536	55.853
4398	313.479	55.999
4399	313.577	56.502
4400	315.166	57.167
4401	315.296	58.815
4402	316.742	59.821
4403	316.321	59.573
4404	316.229	58.7
4405	316.899	59.513
4406	317.519	59.791
4407	317.438	59.222
4408	317.215	59.374
4409	317.102	59.828
4410	317.075	59.098
4411	316.721	58.155
4412	317.511	56.711
4413	318.709	55.928
4414	318.214	55.585
4415	318.389	55.69
4416	317.738	55.32
4417	318.513	54.874
4418	317.991	55.043
4419	319.235	54.903
4420	319.725	55.044
4421	318.838	54.903
4422	318.782	53.887
4423	318.872	53.922
4424	318.419	54.518
4425	318.086	55.365
4426	318.13	55.228
4427	318.416	54.903
4428	319.056	55.334
4429	318.426	53.565
4430	318.341	53.584
4431	317.646	52.702
4432	317.59	52.762
4433	316.5	53.814
4434	316.958	54.013
4435	318.54	53.315
4436	318.259	53.297
4437	318.691	53.483
4438	318.515	54.028
4439	318.905	54.404
4440	319.637	55.248
4441	318.825	55.811
4442	318.316	55.488
4443	317.888	55.255
4444	318.481	55.392
4445	318.316	55.324
4446	318.116	54.472
4447	318.4	54.078
4448	318.471	54.56
4449	318.446	54.519
4450	318.525	53.799
4451	318.661	54.395
4452	318.487	54.546
4453	318.683	54.265
4454	319.278	54.303
4455	319.348	54.042
4456	320.197	54.257
4457	320.613	54.597
4458	320.445	54.732
4459	320.38	54.769
4460	320.695	55.292
4461	319.47	55.59
4462	319.234	57.538
4463	319.609	58.11
4464	319.799	58.391
4465	320.1	58.232
4466	319.232	58.416
4467	318.877	58.476
4468	318.766	58.411
4469	318.61	58.425
4470	318.813	57.681
4471	318.846	58.388
4472	318.935	58.385
4473	318.465	58.895
4474	318.392	58.955
4475	318.463	59.122
4476	318.052	59.388
4477	318.329	59.426
4478	318.774	58.502
4479	318.65	58.231
4480	319.015	58.233
4481	318.763	58.096
4482	318.816	57.614
4483	318.96	58.714
4484	319.16	58.786
4485	319.695	58.21
4486	319.63	57.638
4487	319.533	57.629
4488	320.497	57.794
4489	320.247	58.199
4490	320.102	58.517
4491	320.122	58.305
4492	320.561	58.455
4493	320.434	58.53
4494	321.468	59.275
4495	321.557	59.648
4496	321.578	59.68
4497	321.468	59.545
4498	320.508	58.353
4499	320.813	56.055
4500	320.656	55.312
4501	320.249	54.257
4502	319.32	54.325
4503	319.523	55.02
4504	319.351	55.215
4505	320.145	55.267
4506	320.297	54.951
4507	320.087	54.909
4508	319.704	54.675
4509	318.895	53.681
4510	318.179	53.339
4511	318.658	54.328
4512	318.906	54.022
4513	319.414	54.727
4514	320.48	55.858
4515	319.4	54.612
4516	319.538	54.175
4517	319.941	54.742
4518	320.502	54.81
4519	320.588	54.67
4520	320.264	55.048
4521	320.132	54.861
4522	321.299	54.346
4523	321.71	53.231
4524	321.515	53.184
4525	321.764	54.004
4526	322.045	53.776
4527	321.23	54.487
4528	321.656	53.668
4529	321.674	53.709
4530	322.188	54.185
4531	321.681	53.85
4532	322.453	54.477
4533	322.674	55.285
4534	322.236	55.815
4535	322.43	55.74
4536	321.597	56.277
4537	319.533	57.398
4538	318.386	58.462
4539	318.642	57.562
4540	319.482	58.327
4541	319.441	59.032
4542	319.598	57.883
4543	319.895	57.527
4544	319.674	58.895
4545	319.496	58.838
4546	320.101	58.459
4547	319.31	58.678
4548	318.892	57.838
4549	318.683	58.074
4550	318.694	58.529
4551	317.22	59.829
4552	316.446	58.281
4553	315.884	57.259
4554	314.522	57.356
4555	314.806	57.241
4556	315.94	57.688
4557	315.747	57.583
4558	316.127	57.911
4559	316.064	57.248
4560	315.732	57.48
4561	316.068	57.513
4562	315.881	57.162
4563	317.216	57.35
4564	318.855	57.899
4565	318.574	58.171
4566	319.106	58.299
4567	318.684	57.978
4568	318.736	58.374
4569	318.502	58.094
4570	319.366	57.374
4571	319.874	57.09
4572	319.157	58.16
4573	319.114	57.754
4574	318.449	57.693
4575	318.518	57.64
4576	318.211	58.17
4577	318.145	57.997
4578	318.031	58.38
4579	318.41	58.235
4580	318.5	58.02
4581	318.578	58.07
4582	319.21	58.741
4583	319.203	59.328
4584	319.33	58.687
4585	319.26	58.585
4586	319.374	58.569
4587	319.248	58.199
4588	318.408	57.634
4589	317.342	57.555
4590	318.131	57.628
4591	318.121	57.576
4592	318.379	58.118
4593	317.961	57.421
4594	316.705	57.755
4595	316.481	57.833
4596	317.116	57.83
4597	318.423	57.951
4598	318.584	58.559
4599	315.896	54.506
4600	315.896	54.506
4601	315.896	54.506
4602	315.896	54.506
4603	315.896	54.506
4604	315.896	54.506
4605	315.896	54.506
4606	315.896	54.506
4607	315.896	54.506
4608	315.896	54.506
4609	316.412	53.855
4610	316.697	54.318
4611	318.258	52.356
4612	317.804	52.274
4613	317.403	53.562
4614	316.969	54.138
4615	316.518	54.421
4616	316.396	54.762
4617	316.45	54.421
4618	316.514	54.457
4619	315.576	54.671
4620	315.638	55.25
4621	316.148	55.394
4622	315.942	54.592
4623	315.382	55.718
4624	315.433	55.531
4625	315.578	55.598
4626	315.837	55.252
4627	316.105	54.884
4628	316.195	54.796
4629	316.122	54.696
4630	316.243	53.911
4631	316.657	54.111
4632	316.57	54.257
4633	316.7	54.161
4634	316.355	54.54
4635	316.837	55.305
4636	316.78	55.459
4637	316.552	55.19
4638	316.248	53.502
4639	316.62	53.887
4640	316.68	55.393
4641	316.83	56.106
4642	316.44	56.07
4643	316.677	55.709
4644	316.573	55.389
4645	316.362	54.811
4646	316.585	54.898
4647	316.18	55.719
4648	316.615	55.744
4649	316.17	55.54
4650	315.92	56.789
4651	315.531	58.017
4652	315.357	57.883
4653	315.401	58.623
4654	313.296	59.647
4655	312.852	59.939
4656	312.119	59.956
4657	312.208	60.768
4658	312.641	60.815
4659	312.597	62.533
4660	312.589	64.806
4661	313.005	65.479
4662	313.188	65.76
4663	313.383	66.056
4664	313.421	66.024
4665	312.879	65.914
4666	312.95	65.416
4667	312.855	66.428
4668	312.597	66.151
4669	312.664	65.108
4670	312.824	64.64
4671	313.211	65.911
4672	314.075	67.349
4673	314.268	68.335
4674	314.949	68.592
4675	314.638	68.462
4676	314.773	68.556
4677	313.964	67.806
4678	314.071	67.1
4679	313.995	66.915
4680	313.9	66.914
4681	314.878	68.458
4682	314.77	68.128
4683	314.686	68.415
4684	313.649	68.503
4685	313.059	69.501
4686	312.879	69.469
4687	313.546	68.403
4688	314.799	68.475
4689	314.814	68.296
4690	314.777	68.177
4691	314.646	68.61
4692	314.77	68.503
4693	314.716	68.514
4694	314.673	68.55
4695	314.498	68.449
4696	314.776	68.652
4697	315.062	68.61
4698	315.27	68.393
4699	315.072	68.133
4700	315.11	69.186
4701	315.677	70.066
4702	315.309	70.362
4703	315.125	70.333
4704	315.21	70.214
4705	315.273	70.173
4706	315.585	70.012
4707	315.533	70.309
4708	316.417	70.492
4709	316.884	70.128
4710	317.263	71.071
4711	316.713	71.015
4712	316.789	70.09
4713	316.924	70.474
4714	317.104	70.836
4715	317.479	71.148
4716	317.586	71.243
4717	317.151	70.731
4718	316.946	70.282
4719	317.321	71.081
