Trajectory	Frame	x	y	z
1	428	18.84	27.362	0
1	429	19.745	27.109	0
1	430	19.909	26.547	0
1	431	20.128	26.224	0
1	432	20.053	25.769	0
1	433	20.351	25.702	0
1	434	20.144	25.369	0
1	435	20.361	25.618	0
1	436	20.33	25.209	0
1	437	20.434	25.603	0
1	438	20.666	25.793	0
1	439	20.579	25.544	0
1	440	20.589	25.522	0
1	441	20.505	25.536	0
1	442	20.647	25.409	0
1	443	20.366	25.672	0
1	444	20.349	26.062	0
1	445	19.781	26.153	0
1	446	19.881	25.928	0
1	447	19.783	26.272	0
1	448	19.661	25.903	0
1	449	19.68	26.157	0
1	450	19.725	26.412	0
1	451	19.369	26.771	0
1	452	19.325	27.104	0
1	453	18.777	26.685	0
1	454	19.068	26.692	0
1	455	19.062	26.73	0
1	456	19.076	26.644	0
1	457	19.479	26.896	0
1	458	19.398	27.236	0
1	459	19.305	27.26	0
1	460	19.586	26.941	0
1	461	18.862	26.815	0
1	462	18.793	26.817	0
1	463	18.715	26.785	0
1	464	19.385	26.665	0
1	465	19.922	26.518	0
1	466	19.678	26.656	0
1	467	19.749	26.958	0
1	468	19.793	26.77	0
1	469	19.754	26.522	0
1	470	20.122	26.461	0
1	471	20.053	26.384	0
1	472	20.216	26.731	0
1	473	20.38	26.195	0
1	474	20.6	25.726	0
1	475	21.138	25.589	0
1	476	20.86	25.353	0
1	477	20.693	25.74	0
1	478	21.171	25.587	0
1	479	20.895	25.317	0
1	480	21.084	25.457	0
1	481	21.1	25.38	0
1	482	21.187	25.591	0
1	483	21	25.626	0
1	484	21.09	25.486	0
1	485	20.898	25.685	0
1	486	21.065	25.905	0
1	487	21.237	26.361	0
1	488	21.203	27.114	0
1	489	21.206	27.467	0
1	490	21.092	28.23	0
1	491	21.127	28.536	0
1	492	20.836	28.64	0
1	493	20.879	28.581	0
1	494	20.906	28.508	0
1	495	20.36	28.388	0
1	496	20.13	28.34	0
1	497	19.898	28.369	0
1	498	19.47	28.166	0
1	499	19.217	28.228	0
1	500	19.223	28.162	0
1	501	19.067	27.755	0
1	502	19.228	28.149	0
1	503	19.181	28.349	0
1	504	19.311	28.431	0
1	505	19.301	28.492	0
1	506	19.144	28.667	0
1	507	19.326	28.477	0
1	508	19.78	28.393	0
1	509	19.555	28.154	0
1	510	19.424	27.875	0
1	511	19.322	28.615	0
1	512	19.358	28.574	0
1	513	19.13	28.792	0
1	514	18.74	28.93	0
1	515	18.679	28.796	0
1	516	19.13	28.525	0
1	517	19.104	28.751	0
1	518	19.065	28.603	0
1	519	19.22	28.395	0
1	520	19.307	28.518	0
1	521	19.628	28.387	0
1	522	19.342	28.275	0
1	523	18.555	28.08	0
1	524	18.32	27.851	0
1	525	18.563	27.892	0
1	526	18.446	28.142	0
1	527	18.59	27.577	0
1	528	18.811	27.581	0
1	529	18.658	27.629	0
1	530	18.828	27.963	0
1	531	18.91	28.071	0
1	532	18.862	27.939	0
1	533	18.779	26.951	0
1	534	19.313	27.182	0
1	535	19.196	27.088	0
1	536	18.92	26.642	0
1	537	18.697	26.528	0
1	538	19.243	27.112	0
1	539	19.509	27.006	0
1	540	19.526	27.475	0
1	541	19.234	27.529	0
1	542	19.275	27.246	0
1	543	19.44	27.098	0
1	544	19.554	27.074	0
1	545	20.294	26.625	0
1	546	20.58	26.545	0
1	547	20.703	27.109	0
1	548	20.354	26.87	0
1	549	20.397	27.547	0
1	550	20.823	28.196	0
1	551	21.166	28.077	0
1	552	21.315	27.78	0
1	553	21.178	27.416	0
1	554	20.756	26.964	0
1	555	20.445	26.51	0
1	556	20.971	26.216	0
1	557	20.862	26.287	0
1	558	20.777	26.319	0
1	559	20.405	26.236	0
1	560	20.471	25.966	0
1	561	20.772	25.652	0
1	562	21.421	25.609	0
1	563	21.213	25.753	0
1	564	21.267	25.79	0
1	565	21.258	25.938	0
1	566	21.499	25.732	0
1	567	21.572	25.8	0
1	568	21.591	25.749	0
1	569	21.744	25.726	0
1	570	22.082	25.805	0
1	571	21.56	25.756	0
1	572	21.642	25.63	0
1	573	21.503	25.374	0
1	574	21.367	25.166	0
1	575	21.393	25.488	0
1	576	21.258	25.736	0
1	577	21.519	25.718	0
1	578	21.501	25.586	0
1	579	21.374	25.732	0
1	580	21.323	25.678	0
1	581	21.054	26.16	0
1	582	20.823	26.111	0
1	583	21.011	25.829	0
1	584	20.879	25.705	0
1	585	20.402	25.464	0
1	586	20.397	25.506	0
1	587	20.493	25.505	0
1	588	20.756	25.683	0
1	589	21.472	25.327	0
1	590	21.521	25.22	0
1	591	21.511	25.366	0
1	592	21.42	25.569	0
1	593	21.389	25.579	0
1	594	21.312	25.588	0
1	595	21.096	25.891	0
1	596	21.081	25.45	0
1	597	21.131	25.219	0
1	598	20.651	25.462	0
1	599	20.675	25.079	0
1	600	21.197	25.142	0
1	601	21.393	25.132	0
1	602	21.375	25.174	0
1	603	20.961	25.528	0
1	604	21.194	25.647	0
1	605	21.012	25.539	0
1	606	21.046	25.527	0
1	607	21.567	25.302	0
1	608	21.663	25.308	0
1	609	21.473	25.208	0
1	610	21.311	25.337	0
1	611	20.801	25.563	0
1	612	20.477	25.781	0
1	613	20.223	25.918	0
1	614	20.058	25.888	0
1	615	20.56	25.621	0
1	616	20.529	25.737	0
1	617	20.288	26.318	0
1	618	20.322	26.675	0
1	619	20.544	26.38	0
1	620	20.783	26.822	0
1	621	21.137	27.384	0
1	622	21.411	27.822	0
1	623	21.259	27.907	0
1	624	21.29	28.079	0
1	625	21.659	28.185	0
1	626	21.582	28.432	0
1	627	21.57	28.594	0
1	628	21.707	28.831	0
1	629	21.118	28.337	0
1	630	21.194	28.27	0
1	631	20.9	28.652	0
1	632	20.666	29.134	0
1	633	20.667	29.549	0
1	634	20.796	29.68	0
1	635	20.463	29.089	0
1	636	20.223	29.07	0
1	637	20.176	28.811	0
1	638	20.069	29.038	0
1	639	19.565	29.117	0
1	640	19.451	28.739	0
1	641	19.384	28.573	0
1	642	19.596	29.055	0
1	643	19.717	29.517	0
